system:index,control_P95_C,control_mean_C,control_median_C,control_valid_pixels,date,delta_P95_C,delta_median_C,month,scene_count,site_P90_C,site_P95_C,site_max_C,site_mean_C,site_median_C,site_valid_pixels,year,.geo,pixel_coverage_fraction,good_pixel_coverage,monthly_median_delta,monthly_MAD_delta,robust_Z,thermal_class
16,51.951037648915296,43.69152623565221,43.44067521453956,4817,2019-09-28,9.749304795460446,4.529703420460471,9,2,52.80089540000003,53.189980010000006,53.84851853000004,46.63941642889458,47.97037863500003,175,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.5952380952380952,True,9.749304795460446,2.350647697042737,0.0,Background range
17,31.21989892010639,24.357631752012065,23.39988092182976,4891,2019-10-14,5.06983910817026,2.3861237381702622,10,2,28.100573870000005,28.46972003000002,28.990968080000016,25.469623366425196,25.78600466000002,294,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.02100873857114,3.5487631469695557,-0.7509735912090192,Background range
18,44.89772346965877,39.05448044840738,38.78772510834224,4891,2019-10-30,8.573391461657785,4.920097751657785,10,2,46.97601965000002,47.36111657000002,48.03959354,42.93094983726499,43.70782286000002,294,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.02100873857114,3.5487631469695557,-0.08507575866762253,Background range
19,37.8991050227273,32.969313544996446,32.91224161188801,2906,2019-11-15,7.294617296112015,4.16884068341227,11,2,39.917238680000025,40.20685890800002,40.62932618000002,36.2752854732565,37.08108229530028,272,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9251700680272109,True,9.4243281870027,1.0567645610239635,-1.3593096979620052,Background range
20,46.9367772659229,41.333018644220246,41.311069650629726,4890,2019-12-01,9.579722239370284,6.2216240112384185,12,2,50.40229986500002,50.89079189000001,51.22689719000002,46.51589841839082,47.532693661868144,294,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-0.025051953715908643,Background range
21,44.0626946585444,38.92960558251048,39.055812137329845,4611,2019-12-17,9.619533122670177,5.633142286753518,12,2,48.30064481750002,48.67534526000002,49.00347518000001,43.80554833065199,44.68895442408336,294,2019,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.623865966464932,1.1885115369380888,-0.002458926994807801,Background range
3,41.02811933283969,37.07657822809431,37.27901244972394,4130,2020-02-19,6.24623117527608,3.888626706642704,2,2,43.410170285000014,43.52524362500002,43.659400910000016,40.56363361056575,41.16763915636665,280,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9523809523809523,True,8.426833472904178,1.6478439934050328,-0.8925578548272619,Background range
5,46.44918652055293,41.76992887555748,42.06131260941928,4745,2020-03-22,7.653680400580747,4.907586165580753,3,2,49.35638574500003,49.71499301000002,49.93830365000002,46.17508537062422,46.96889877500003,294,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,9.255713324999997,1.57838768186848,-0.6845950562785047,Background range
7,51.54524018841377,46.91423916925431,47.5627843637503,4901,2020-04-23,9.760151496249698,6.338649149321931,4,2,57.15331661750001,57.32293586,57.85785599000002,53.07261578519186,53.90143351307224,294,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,8.717302541336988,1.2942534602992204,0.5434731335049543,Background range
13,47.63740652000001,35.009102610037026,35.38411563865112,4777,2020-07-28,12.840050981348888,7.6275704813489185,7,2,47.72912339000001,48.224166620000005,48.63774704000002,42.630066775663146,43.01168612000004,294,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",1.0,True,11.092590819812855,2.7734145697791455,0.4249800027564546,Background range
15,43.80244504700001,35.94496866456899,34.318390041242935,2661,2020-08-29,10.028032888757082,6.077269050650024,8,2,43.71636791000001,44.34642293000002,45.045408020000025,40.15588231905997,40.39565909189296,291,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",0.9897959183673469,True,9.778566383138529,0.3723682370087902,0.4518721956262296,Background range
17,49.676141516000015,41.52631941791429,41.43923522749684,3108,2020-09-30,12.099952492503183,7.767042472503171,9,2,52.925994932000016,53.53918772000002,54.37660262,48.08149368370191,49.20627770000001,177,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",0.6020408163265306,True,9.749304795460446,2.350647697042737,0.6744907594765952,Background range
19,46.056374292184486,40.33942041449917,40.181180828283054,3346,2020-11-17,11.902784876716971,7.832777561716945,11,2,51.85923089000003,52.083965705000026,52.76329718,47.28732353634288,48.01395839,257,2020,"{""type"":""MultiPoint"",""coordinates"":[]}",0.8741496598639455,True,9.4243281870027,1.0567645610239635,1.581900261071793,Background range
